,currencyCode,basePrice,createdAt
0,USD,1457.5,2025-02-01 09:00:09
1,JPY,939.35,2025-02-01 09:00:09
42,USD,1457.5,2025-02-01 09:02:09
43,JPY,939.35,2025-02-01 09:02:09
84,USD,1457.5,2025-02-01 09:04:09
85,JPY,939.35,2025-02-01 09:04:09
126,USD,1457.5,2025-02-01 09:06:10
127,JPY,939.35,2025-02-01 09:06:10
168,USD,1457.5,2025-02-01 09:08:10
169,JPY,939.35,2025-02-01 09:08:10
210,USD,1457.5,2025-02-01 09:10:10
211,JPY,939.35,2025-02-01 09:10:10
252,USD,1457.5,2025-02-01 09:12:09
253,JPY,939.35,2025-02-01 09:12:09
294,USD,1457.5,2025-02-01 09:14:09
295,JPY,939.35,2025-02-01 09:14:09
336,USD,1457.5,2025-02-01 09:16:13
337,JPY,939.35,2025-02-01 09:16:13
378,USD,1457.5,2025-02-01 09:18:09
379,JPY,939.35,2025-02-01 09:18:09
420,USD,1457.5,2025-02-01 09:20:09
421,JPY,939.35,2025-02-01 09:20:09
462,USD,1457.5,2025-02-01 09:22:09
463,JPY,939.35,2025-02-01 09:22:09
504,USD,1457.5,2025-02-01 09:24:10
505,JPY,939.35,2025-02-01 09:24:10
546,USD,1457.5,2025-02-01 09:26:09
547,JPY,939.35,2025-02-01 09:26:09
588,USD,1457.5,2025-02-01 09:28:09
589,JPY,939.35,2025-02-01 09:28:09
630,USD,1457.5,2025-02-01 09:30:09
631,JPY,939.35,2025-02-01 09:30:09
672,USD,1457.5,2025-02-01 09:32:11
673,JPY,939.35,2025-02-01 09:32:11
714,USD,1457.5,2025-02-01 09:34:09
715,JPY,939.35,2025-02-01 09:34:09
756,USD,1457.5,2025-02-01 09:36:09
757,JPY,939.35,2025-02-01 09:36:09
798,USD,1457.5,2025-02-01 09:38:09
799,JPY,939.35,2025-02-01 09:38:09
840,USD,1457.5,2025-02-01 09:40:09
841,JPY,939.35,2025-02-01 09:40:09
882,USD,1457.5,2025-02-01 09:42:10
883,JPY,939.35,2025-02-01 09:42:10
924,USD,1457.5,2025-02-01 09:44:11
925,JPY,939.35,2025-02-01 09:44:11
966,USD,1457.5,2025-02-01 09:46:11
967,JPY,939.35,2025-02-01 09:46:11
1008,USD,1457.5,2025-02-01 09:48:09
1009,JPY,939.35,2025-02-01 09:48:09
1050,USD,1457.5,2025-02-01 09:50:09
1051,JPY,939.35,2025-02-01 09:50:09
1092,USD,1457.5,2025-02-01 09:52:09
1093,JPY,939.35,2025-02-01 09:52:09
1134,USD,1457.5,2025-02-01 09:54:08
1135,JPY,939.35,2025-02-01 09:54:08
1176,USD,1457.5,2025-02-01 09:56:08
1177,JPY,939.35,2025-02-01 09:56:08
1218,USD,1457.5,2025-02-01 09:58:09
1219,JPY,939.35,2025-02-01 09:58:09
1260,USD,1457.5,2025-02-01 10:00:09
1261,JPY,939.35,2025-02-01 10:00:09
1302,USD,1457.5,2025-02-01 10:02:09
1303,JPY,939.35,2025-02-01 10:02:09
1344,USD,1457.5,2025-02-01 10:04:09
1345,JPY,939.35,2025-02-01 10:04:09
1386,USD,1457.5,2025-02-01 10:06:09
1387,JPY,939.35,2025-02-01 10:06:09
1428,USD,1457.5,2025-02-01 10:08:09
1429,JPY,939.35,2025-02-01 10:08:09
1470,USD,1457.5,2025-02-01 10:10:09
1471,JPY,939.35,2025-02-01 10:10:09
1512,USD,1457.5,2025-02-01 10:12:09
1513,JPY,939.35,2025-02-01 10:12:09
1554,USD,1457.5,2025-02-01 10:14:13
1555,JPY,939.35,2025-02-01 10:14:13
1596,USD,1457.5,2025-02-01 10:16:10
1597,JPY,939.35,2025-02-01 10:16:10
1638,USD,1457.5,2025-02-01 10:18:08
1639,JPY,939.35,2025-02-01 10:18:08
1680,USD,1457.5,2025-02-01 10:20:09
1681,JPY,939.35,2025-02-01 10:20:09
1722,USD,1457.5,2025-02-01 10:22:09
1723,JPY,939.35,2025-02-01 10:22:09
1764,USD,1457.5,2025-02-01 10:24:09
1765,JPY,939.35,2025-02-01 10:24:09
1806,USD,1457.5,2025-02-01 10:26:09
1807,JPY,939.35,2025-02-01 10:26:09
1848,USD,1457.5,2025-02-01 10:28:10
1849,JPY,939.35,2025-02-01 10:28:10
1890,USD,1457.5,2025-02-01 10:30:11
1891,JPY,939.35,2025-02-01 10:30:11
1932,USD,1457.5,2025-02-01 10:32:08
1933,JPY,939.35,2025-02-01 10:32:08
1974,USD,1457.5,2025-02-01 10:34:08
1975,JPY,939.35,2025-02-01 10:34:08
2016,USD,1457.5,2025-02-01 10:36:13
2017,JPY,939.35,2025-02-01 10:36:13
2058,USD,1457.5,2025-02-01 10:38:09
2059,JPY,939.35,2025-02-01 10:38:09
2100,USD,1457.5,2025-02-01 10:40:10
2101,JPY,939.35,2025-02-01 10:40:10
2142,USD,1457.5,2025-02-01 10:42:10
2143,JPY,939.35,2025-02-01 10:42:10
2184,USD,1457.5,2025-02-01 10:44:10
2185,JPY,939.35,2025-02-01 10:44:10
2226,USD,1457.5,2025-02-01 10:46:16
2227,JPY,939.35,2025-02-01 10:46:16
2268,USD,1457.5,2025-02-01 10:48:08
2269,JPY,939.35,2025-02-01 10:48:08
2310,USD,1457.5,2025-02-01 10:50:13
2311,JPY,939.35,2025-02-01 10:50:13
2352,USD,1457.5,2025-02-01 10:52:11
2353,JPY,939.35,2025-02-01 10:52:11
2394,USD,1457.5,2025-02-01 10:54:09
2395,JPY,939.35,2025-02-01 10:54:09
2436,USD,1457.5,2025-02-01 10:56:09
2437,JPY,939.35,2025-02-01 10:56:09
2478,USD,1457.5,2025-02-01 10:58:10
2479,JPY,939.35,2025-02-01 10:58:10
2520,USD,1457.5,2025-02-01 11:00:10
2521,JPY,939.35,2025-02-01 11:00:10
2562,USD,1457.5,2025-02-01 11:02:10
2563,JPY,939.35,2025-02-01 11:02:10
2604,USD,1457.5,2025-02-01 11:04:10
2605,JPY,939.35,2025-02-01 11:04:10
2646,USD,1457.5,2025-02-01 11:06:08
2647,JPY,939.35,2025-02-01 11:06:08
2688,USD,1457.5,2025-02-01 11:08:11
2689,JPY,939.35,2025-02-01 11:08:11
2730,USD,1457.5,2025-02-01 11:10:09
2731,JPY,939.35,2025-02-01 11:10:09
2772,USD,1457.5,2025-02-01 11:12:09
2773,JPY,939.35,2025-02-01 11:12:09
2814,USD,1457.5,2025-02-01 11:14:09
2815,JPY,939.35,2025-02-01 11:14:09
2856,USD,1457.5,2025-02-01 11:16:13
2857,JPY,939.35,2025-02-01 11:16:13
2898,USD,1457.5,2025-02-01 11:18:09
2899,JPY,939.35,2025-02-01 11:18:09
2940,USD,1457.5,2025-02-01 11:20:09
2941,JPY,939.35,2025-02-01 11:20:09
2982,USD,1457.5,2025-02-01 11:22:09
2983,JPY,939.35,2025-02-01 11:22:09
3024,USD,1457.5,2025-02-01 11:24:09
3025,JPY,939.35,2025-02-01 11:24:09
3066,USD,1457.5,2025-02-01 11:26:09
3067,JPY,939.35,2025-02-01 11:26:09
3108,USD,1457.5,2025-02-01 11:28:09
