isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
0,KRW,10000.00,939.38,"2025-02-01 01:43:29",JPY
1,JPY,10000.00,939.56,"2025-02-02 02:16:33",JPY
1,USD,36.00,1458.10,"2025-02-02 16:13:53",USD
1,USD,68.00,1458.90,"2025-02-02 23:36:12",USD
0,KRW,908.00,1459.50,"2025-02-03 00:01:46",USD
0,KRW,875.00,1459.50,"2025-02-03 00:01:46",USD
0,KRW,272.00,1459.60,"2025-02-03 00:01:52",USD
1,JPY,31314.00,945.00,"2025-02-03 00:06:15",JPY
1,USD,732.00,1467.70,"2025-02-03 00:08:35",USD
1,USD,1007.00,1466.20,"2025-02-03 00:08:41",USD
1,USD,316.00,1463.90,"2025-02-03 00:08:51",USD
1,JPY,13977.00,945.07,"2025-02-03 00:16:10",JPY
1,JPY,31158.00,944.01,"2025-02-03 00:17:00",JPY
0,KRW,805.00,1469.79,"2025-02-03 00:23:54",USD
1,JPY,22106.00,945.99,"2025-02-03 00:26:17",JPY
1,JPY,1445.00,944.70,"2025-02-03 00:27:01",JPY
1,USD,805.00,1470.40,"2025-02-03 00:30:08",USD
1,JPY,28334.00,945.58,"2025-02-03 00:31:00",JPY
1,USD,918.00,1471.20,"2025-02-03 01:01:00",USD
1,USD,709.00,1471.10,"2025-02-03 01:06:10",USD
1,USD,855.00,1471.30,"2025-02-03 01:11:01",USD
1,USD,489.00,1471.10,"2025-02-03 01:16:09",USD
1,USD,352.00,1471.10,"2025-02-03 01:17:27",USD
1,USD,677.00,1471.00,"2025-02-03 01:27:53",USD
1,JPY,30000.00,943.42,"2025-02-03 01:54:18",JPY
0,KRW,918.00,1470.30,"2025-02-03 02:05:37",USD
0,KRW,100.00,943.60,"2025-02-03 02:11:04",JPY
1,USD,807.00,1469.90,"2025-02-03 02:28:09",USD
1,USD,111.00,1469.90,"2025-02-03 02:28:09",USD
1,JPY,18491.00,945.26,"2025-02-03 02:56:09",JPY
1,JPY,13175.00,945.16,"2025-02-03 03:06:10",JPY
1,JPY,14377.00,945.16,"2025-02-03 03:07:47",JPY
1,USD,720.00,1470.10,"2025-02-03 03:11:04",USD
1,USD,976.00,1470.60,"2025-02-03 03:16:13",USD
1,JPY,5623.00,945.25,"2025-02-03 03:17:19",JPY
1,JPY,7551.00,945.25,"2025-02-03 03:19:39",JPY
1,USD,780.00,1470.50,"2025-02-03 03:21:56",USD
1,JPY,12449.00,945.16,"2025-02-03 03:22:38",JPY
1,JPY,10000.00,944.28,"2025-02-03 03:35:32",JPY
0,KRW,5872.00,1001.80,"2025-02-03 04:01:47",CAD
1,USD,100.00,1468.30,"2025-02-03 04:15:17",USD
1,USD,844.00,1469.10,"2025-02-03 04:21:01",USD
0,KRW,10000.00,943.47,"2025-02-03 04:38:32",JPY
1,JPY,18000.00,942.63,"2025-02-03 04:59:45",JPY
1,JPY,667.00,942.63,"2025-02-03 05:00:37",JPY
1,JPY,38851.00,942.32,"2025-02-03 05:01:29",JPY
1,JPY,32054.00,942.92,"2025-02-03 05:01:56",JPY
1,JPY,49455.00,942.10,"2025-02-03 05:02:59",JPY
1,JPY,17645.00,942.04,"2025-02-03 05:04:08",JPY
1,USD,734.00,1467.30,"2025-02-03 05:58:23",USD
1,USD,874.00,1467.30,"2025-02-03 05:58:23",USD
1,USD,959.00,1467.20,"2025-02-03 05:58:41",USD
1,USD,872.00,1466.90,"2025-02-03 05:59:08",USD
1,USD,561.00,1466.70,"2025-02-03 05:59:27",USD
0,KRW,20000.00,943.78,"2025-02-03 06:22:10",JPY
1,JPY,20000.00,944.38,"2025-02-03 06:26:14",JPY
0,KRW,979.00,1466.00,"2025-02-03 06:36:10",USD
0,KRW,904.00,1466.40,"2025-02-03 06:46:09",USD
0,KRW,746.00,1466.20,"2025-02-03 06:51:01",USD
0,KRW,896.00,1465.90,"2025-02-03 06:56:10",USD
1,USD,809.00,1465.40,"2025-02-03 07:00:14",USD
0,KRW,282.00,1466.20,"2025-02-03 07:01:01",USD
1,JPY,23452.00,942.82,"2025-02-03 07:26:21",JPY
1,JPY,32758.00,943.04,"2025-02-03 07:36:16",JPY
0,KRW,717.00,1465.40,"2025-02-03 08:36:31",USD
0,KRW,306.00,1465.40,"2025-02-03 08:36:31",USD
1,JPY,35502.00,943.10,"2025-02-03 08:41:01",JPY
1,JPY,11740.00,943.42,"2025-02-03 08:51:00",JPY
1,JPY,4785.00,943.42,"2025-02-03 08:54:00",JPY
1,JPY,15215.00,943.37,"2025-02-03 08:58:15",JPY
1,USD,756.00,1465.90,"2025-02-03 09:03:28",USD
1,USD,267.00,1465.80,"2025-02-03 09:03:35",USD
0,KRW,20000.00,944.26,"2025-02-03 09:16:40",JPY
0,KRW,893.00,1465.70,"2025-02-03 09:50:15",USD
1,JPY,18234.00,944.74,"2025-02-03 09:51:01",JPY
1,JPY,1766.00,945.16,"2025-02-03 09:56:09",JPY
1,USD,786.00,1465.80,"2025-02-03 10:11:23",USD
1,USD,107.00,1465.70,"2025-02-03 10:15:09",USD
0,KRW,727.00,1466.20,"2025-02-03 10:23:15",USD
0,KRW,45.00,1466.20,"2025-02-03 10:23:15",USD
0,KRW,810.00,1466.20,"2025-02-03 10:23:25",USD
1,JPY,10000.00,945.91,"2025-02-03 10:30:43",JPY
1,USD,810.00,1467.10,"2025-02-03 10:31:46",USD
1,USD,772.00,1466.20,"2025-02-03 11:05:54",USD
0,KRW,10.00,1466.70,"2025-02-03 11:20:39",USD
0,KRW,11039.00,947.65,"2025-02-03 11:27:06",JPY
0,KRW,753.00,1466.60,"2025-02-03 11:30:42",USD
1,JPY,36886.00,948.46,"2025-02-03 11:36:12",JPY
1,USD,753.00,1467.10,"2025-02-03 11:37:17",USD
1,JPY,11039.00,947.53,"2025-02-03 11:38:10",JPY
1,JPY,13114.00,948.91,"2025-02-03 11:46:10",JPY
0,KRW,400.00,1464.80,"2025-02-03 12:43:09",USD
1,USD,751.00,1464.60,"2025-02-03 13:31:00",USD
1,USD,249.00,1465.30,"2025-02-03 13:36:12",USD
1,USD,400.00,1466.20,"2025-02-03 13:51:37",USD
0,KRW,400.00,1466.10,"2025-02-03 14:02:43",USD
0,KRW,826.00,1467.59,"2025-02-03 14:11:20",USD
1,USD,400.00,1467.30,"2025-02-03 14:13:04",USD
1,USD,411.00,1467.30,"2025-02-03 14:17:06",USD
1,JPY,36974.00,949.21,"2025-02-03 14:26:11",JPY
1,JPY,13026.00,949.80,"2025-02-03 14:31:01",JPY
1,JPY,999.00,949.80,"2025-02-03 14:31:01",JPY
0,KRW,400.00,1467.60,"2025-02-03 14:51:53",USD
1,JPY,10000.00,949.90,"2025-02-03 15:08:39",JPY
1,USD,415.00,1467.40,"2025-02-03 15:09:56",USD
1,USD,400.00,1467.40,"2025-02-03 15:10:27",USD
1,JPY,10000.00,949.90,"2025-02-03 15:11:27",JPY
1,JPY,10000.00,952.13,"2025-02-03 15:26:22",JPY
0,KRW,400.00,1463.80,"2025-02-03 15:39:23",USD
0,KRW,400.00,1463.40,"2025-02-03 16:01:01",USD
0,KRW,10000.00,945.28,"2025-02-03 16:05:25",JPY
0,KRW,26419.00,939.67,"2025-02-03 23:36:09",JPY
0,KRW,16359.00,939.44,"2025-02-03 23:51:01",JPY
0,KRW,39757.00,939.08,"2025-02-03 23:56:12",JPY
0,KRW,402.00,1457.70,"2025-02-04 00:00:38",USD
0,KRW,590.00,1457.70,"2025-02-04 00:01:08",USD
0,KRW,747.00,1457.90,"2025-02-04 00:01:16",USD
0,KRW,720.00,1457.90,"2025-02-04 00:01:16",USD
